CustomerID,Lookalike1,Score1,Lookalike2,Score2,Lookalike3,Score3
C0001,C0192,0.8521,C0184,0.8512,C0112,0.8428
C0002,C0134,0.9573,C0106,0.9243,C0029,0.9107
C0003,C0052,0.9864,C0031,0.9092,C0076,0.8411
C0004,C0165,0.9724,C0155,0.9463,C0173,0.8984
C0005,C0007,0.9097,C0112,0.8898,C0095,0.8242
C0006,C0187,0.9007,C0168,0.8717,C0171,0.8195
C0007,C0005,0.9097,C0120,0.8184,C0140,0.7979
C0008,C0065,0.7617,C0084,0.7602,C0098,0.7584
C0009,C0010,0.9205,C0062,0.8758,C0077,0.8681
C0010,C0062,0.9519,C0009,0.9205,C0198,0.9139
C0011,C0169,0.8969,C0153,0.8916,C0174,0.8702
C0012,C0195,0.9264,C0136,0.8578,C0013,0.7861
C0013,C0143,0.9146,C0022,0.8478,C0087,0.8404
C0014,C0097,0.925,C0151,0.915,C0128,0.8842
C0015,C0036,0.9202,C0123,0.8843,C0058,0.84
C0016,C0183,0.9992,C0067,0.8567,C0030,0.6895
C0017,C0075,0.9283,C0090,0.8627,C0081,0.8484
C0018,C0117,0.9641,C0046,0.8804,C0187,0.8029
C0019,C0121,0.8699,C0161,0.7509,C0147,0.7134
C0020,C0050,0.862,C0140,0.8585,C0110,0.832
